Date,Dom_plac_final,ext_plac_joun,Dom_plac_joun,Victoire_dom,Derby,ext_plac_final,Journee,Resultat,Heure,Temp,Domicile,Capacite,Affluence,exterieur,Jours
07-05-2016,2,3,2,63.2,0,3,37,6-1,21:00,295.75,Olympique de lyonnais,59186,56696,AS Monaco FC,ven
07-05-2017,4,8,4,63.2,0,7,36,3-2,17:00,286.65,Olympique de lyonnais,59186,34473,FC Nantes,dim
07-08-2010,3,11,11,57.9,0,18,1,0-0,21:00,298.75,Olympique de lyonnais,41044,35275,AS Monaco FC,ven
08-02-2015,2,3,1,73.7,1,1,24,1-1,21:00,280.15,Olympique de lyonnais,41044,37581,Paris Saint-Germain FC,dim
08-02-2017,4,13,4,63.2,0,19,24,4-0,19:00,280.85,Olympique de lyonnais,59186,28349,AS Nancy Lorraine,mer
08-04-2017,4,18,4,63.2,0,18,32,1-4,20:00,293.45,Olympique de lyonnais,59186,35595,FC Lorient,ven
08-05-2011,3,2,3,57.9,1,2,34,3-2,21:00,295.75,Olympique de lyonnais,41044,39548,Olympique de Marseille,dim
08-11-2015,2,5,2,63.2,1,6,13,3-0,21:00,293.55,Olympique de lyonnais,39490,38752,AS Saint-Etienne,dim
09-01-2016,2,20,6,63.2,0,20,20,4-1,17:00,284.05,Olympique de lyonnais,59186,55168,ESTAC Troyes,ven
09-11-2014,2,18,3,73.7,0,10,13,3-1,14:00,285.05,Olympique de lyonnais,41044,36461,EA Guingamp,dim
10-02-2013,3,10,2,57.9,0,6,24,1-3,21:00,275.15,Olympique de lyonnais,41044,30705,Lille OSC,dim
10-03-2012,4,3,7,68.4,0,3,27,2-1,21:00,285.65,Olympique de lyonnais,41044,33318,Lille OSC,ven
10-03-2013,3,3,2,57.9,1,2,28,0-0,21:00,280.55,Olympique de lyonnais,41044,38819,Olympique de Marseille,dim
10-04-2011,3,19,3,57.9,0,19,30,3-0,21:00,298.15,Olympique de lyonnais,41044,34429,RC Lens,dim
10-05-2014,5,8,5,42.1,0,8,37,0-1,21:00,289.85,Olympique de lyonnais,41044,39533,FC Lorient,ven
10-08-2013,5,20,1,42.1,0,17,1,4-0,21:00,295.45,Olympique de lyonnais,41044,23552,OGC Nice,ven
10-08-2014,2,18,2,73.7,0,9,1,2-0,17:00,295.85,Olympique de lyonnais,41044,27811,Stade Rennais FC,dim
10-09-2016,4,4,8,63.2,0,6,4,1-3,17:00,299.45,Olympique de lyonnais,59186,40976,FC Girondins de Bordeaux,ven
10-09-2017,3,12,3,63.2,0,12,5,2-1,17:00,291.55,Olympique de lyonnais,59186,36697,EA Guingamp,dim
11-01-2014,5,19,9,42.1,0,18,20,2-0,20:00,281.05,Olympique de lyonnais,41044,36099,FC Sochaux-Montbeliard,ven
11-01-2015,2,15,1,73.7,0,17,20,3-0,17:00,281.45,Olympique de lyonnais,41044,35928,Toulouse FC,dim
11-02-2012,4,13,4,68.4,0,18,23,1-2,15:00,273.05,Olympique de lyonnais,41044,30692,SM Caen,ven
11-02-2018,3,8,4,63.2,0,5,25,0-2,21:00,280.45,Olympique de lyonnais,59186,39188,Stade Rennais FC,dim
11-03-2018,3,12,4,63.2,0,16,29,1-0,17:00,290.55,Olympique de lyonnais,59186,39530,SM Caen,dim
11-04-2010,2,6,3,63.2,0,4,32,1-1,17:00,285.15,Olympique de lyonnais,41044,38593,Lille OSC,dim
11-09-2010,3,12,16,57.9,0,12,5,1-1,19:00,297.55,Olympique de lyonnais,41044,35925,Valenciennes FC,ven
11-12-2016,4,5,4,63.2,0,9,17,1-0,15:00,283.45,Olympique de lyonnais,59186,33901,Stade Rennais FC,dim
12-03-2017,4,11,4,63.2,0,13,29,4-0,17:00,290.55,Olympique de lyonnais,59186,34463,Toulouse FC,dim
12-05-2010,2,9,3,63.2,0,8,34,3-0,19:00,283.85,Olympique de lyonnais,41044,38432,AS Monaco FC,mer
12-05-2013,3,1,3,57.9,1,1,36,0-1,21:00,288.35,Olympique de lyonnais,41044,39939,Paris Saint-Germain FC,dim
12-09-2014,2,19,13,73.7,0,3,5,2-1,20:30,295.05,Olympique de lyonnais,41044,34099,AS Monaco FC,sam
12-09-2015,2,13,6,63.2,0,5,5,0-0,17:00,291.55,Olympique de lyonnais,39490,32137,Lille OSC,ven
12-12-2010,3,12,3,57.9,0,8,17,2-0,17:00,279.75,Olympique de lyonnais,41044,32547,Toulouse FC,dim
12-12-2012,3,19,1,57.9,0,18,17,1-1,19:00,274.05,Olympique de lyonnais,41044,31952,AS Nancy Lorraine,mer
12-12-2014,2,20,3,73.7,0,13,18,3-0,20:30,283.85,Olympique de lyonnais,41044,32972,SM Caen,sam
13-02-2010,2,12,4,63.2,0,11,24,1-0,21:00,270.85,Olympique de lyonnais,41044,33239,RC Lens,ven
13-03-2010,2,17,6,63.2,1,17,28,1-1,21:00,280.25,Olympique de lyonnais,41044,36199,AS Saint-Etienne,ven
13-04-2014,5,1,5,42.1,1,1,33,1-0,21:00,287.75,Olympique de lyonnais,41044,38096,Paris Saint-Germain FC,dim
13-08-2011,4,18,6,68.4,0,16,2,1-1,19:00,296.35,Olympique de lyonnais,41044,30746,AC Ajaccio,ven
13-10-2017,3,2,6,63.2,0,2,9,3-2,20:45,295.35,Olympique de lyonnais,59186,43295,AS Monaco FC,sam
14-01-2018,3,18,3,63.2,0,14,20,1-1,17:00,281.85,Olympique de lyonnais,59186,36691,Angers SCO,dim
14-02-2016,2,10,5,63.2,0,7,26,4-1,14:00,280.85,Olympique de lyonnais,59186,38467,SM Caen,dim
14-04-2013,3,11,3,57.9,0,10,32,3-1,17:00,297.75,Olympique de lyonnais,41044,34678,Toulouse FC,dim
14-04-2018,3,14,3,63.2,0,13,33,3-0,17:00,289.35,Olympique de lyonnais,59186,47513,Amiens SC,ven
14-11-2010,3,14,9,57.9,0,17,13,1-0,21:00,287.75,Olympique de lyonnais,41044,32672,OGC Nice,dim
15-01-2011,3,12,4,57.9,0,11,20,3-0,21:00,283.55,Olympique de lyonnais,41044,32722,FC Lorient,ven
15-04-2015,2,14,2,73.7,0,12,32,2-0,18:30,299.05,Olympique de lyonnais,41044,36549,SC Bastia,mer
15-04-2016,2,4,3,63.2,0,4,34,1-1,20:30,287.25,Olympique de lyonnais,59186,55749,OGC Nice,sam
15-05-2010,2,18,2,63.2,0,18,38,2-0,21:00,287.85,Olympique de lyonnais,41044,37353,Le Mans UC 72,ven
15-09-2013,5,6,9,42.1,0,12,5,0-0,21:00,290.75,Olympique de lyonnais,41044,33352,Stade Rennais FC,dim
15-10-2011,4,20,3,68.4,0,11,10,3-1,19:00,288.85,Olympique de lyonnais,41044,33825,AS Nancy Lorraine,ven
15-12-2013,5,6,11,42.1,1,6,18,2-2,21:00,282.45,Olympique de lyonnais,41044,34218,Olympique de Marseille,dim
16-02-2014,5,20,6,42.1,0,20,25,3-1,14:00,283.15,Olympique de lyonnais,41044,35103,AC Ajaccio,dim
16-03-2014,5,2,5,42.1,0,2,29,2-3,17:00,291.45,Olympique de lyonnais,41044,35062,AS Monaco FC,dim
16-05-2015,2,6,2,73.7,0,6,37,1-1,21:00,290.75,Olympique de lyonnais,41044,39961,FC Girondins de Bordeaux,ven
16-09-2012,3,14,2,57.9,0,17,5,2-0,17:00,296.25,Olympique de lyonnais,41044,25666,AC Ajaccio,dim
17-10-2010,3,6,14,57.9,0,1,9,3-1,21:00,280.35,Olympique de lyonnais,41044,34976,Lille OSC,dim
17-12-2011,4,12,4,68.4,0,9,18,2-1,21:00,280.15,Olympique de lyonnais,41044,35253,evian Thonon Gaillard FC,ven
17-12-2017,3,4,3,63.2,1,4,18,2-0,21:00,278.65,Olympique de lyonnais,59186,57206,Olympique de Marseille,dim
18-01-2013,3,17,2,57.9,0,16,21,0-0,20:30,271.55,Olympique de lyonnais,41044,30811,evian Thonon Gaillard FC,sam
18-02-2011,3,15,4,57.9,0,13,24,4-0,20:45,278.15,Olympique de lyonnais,41044,31957,AS Nancy Lorraine,sam
18-08-2012,3,20,1,57.9,0,19,2,4-1,17:00,310.95,Olympique de lyonnais,41044,25186,ESTAC Troyes,ven
18-09-2011,4,20,1,68.4,1,10,6,2-0,21:00,289.85,Olympique de lyonnais,41044,38010,Olympique de Marseille,dim
18-11-2011,4,4,5,68.4,0,6,14,1-2,20:00,286.95,Olympique de lyonnais,41044,32193,Stade Rennais FC,sam
18-11-2012,3,13,1,57.9,0,14,13,3-0,14:00,282.75,Olympique de lyonnais,41044,33222,Stade de Reims,dim
19-02-2017,4,17,4,63.2,0,16,26,4-2,17:00,284.45,Olympique de lyonnais,59186,35197,Dijon FCO,dim
19-03-2011,3,3,4,57.9,0,6,28,1-1,21:00,282.55,Olympique de lyonnais,41044,35504,Stade Rennais FC,ven
19-03-2016,2,8,4,63.2,0,14,31,2-0,21:00,279.55,Olympique de lyonnais,59186,47505,FC Nantes,ven
19-04-2015,2,5,2,73.7,1,5,33,2-2,21:00,290.45,Olympique de lyonnais,41044,37715,AS Saint-Etienne,dim
